"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 15 00:41:50 UTC 2026","Tue Sep 15 00:41:50 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Tue Sep 15 00:40:19 UTC 2026","Tue Sep 15 00:40:49 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Tue Sep 15 00:42:20 UTC 2026","Tue Sep 15 00:42:20 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Tue Sep 15 00:40:49 UTC 2026","Tue Sep 15 00:40:49 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Tue Sep 15 00:41:20 UTC 2026","Tue Sep 15 00:41:20 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Tue Sep 15 00:39:49 UTC 2026","Tue Sep 15 00:40:19 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Tue Sep 15 00:42:51 UTC 2026","Tue Sep 15 00:42:51 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
