"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 19 00:39:08 UTC 2026","Sat Sep 19 00:39:08 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Sat Sep 19 00:39:38 UTC 2026","Sat Sep 19 00:39:38 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Sat Sep 19 00:38:37 UTC 2026","Sat Sep 19 00:38:37 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Sat Sep 19 00:37:37 UTC 2026","Sat Sep 19 00:38:07 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Sat Sep 19 00:38:07 UTC 2026","Sat Sep 19 00:38:37 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Sat Sep 19 00:40:08 UTC 2026","Sat Sep 19 00:40:08 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Sat Sep 19 00:40:38 UTC 2026","Sat Sep 19 00:40:38 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
