"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 16 00:38:06 UTC 2026","Wed Sep 16 00:38:36 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Wed Sep 16 00:40:08 UTC 2026","Wed Sep 16 00:40:08 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Wed Sep 16 00:40:38 UTC 2026","Wed Sep 16 00:40:38 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Wed Sep 16 00:39:37 UTC 2026","Wed Sep 16 00:39:37 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Wed Sep 16 00:41:08 UTC 2026","Wed Sep 16 00:41:08 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Wed Sep 16 00:38:37 UTC 2026","Wed Sep 16 00:39:07 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Wed Sep 16 00:39:07 UTC 2026","Wed Sep 16 00:39:07 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
