"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 24 00:40:13 UTC 2026","Thu Sep 24 00:40:13 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Thu Sep 24 00:41:44 UTC 2026","Thu Sep 24 00:41:44 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Thu Sep 24 00:39:12 UTC 2026","Thu Sep 24 00:39:42 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Thu Sep 24 00:39:43 UTC 2026","Thu Sep 24 00:39:43 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Thu Sep 24 00:41:13 UTC 2026","Thu Sep 24 00:41:13 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Thu Sep 24 00:40:43 UTC 2026","Thu Sep 24 00:40:43 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Thu Sep 24 00:38:42 UTC 2026","Thu Sep 24 00:39:12 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
