"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 17 00:40:23 UTC 2026","Thu Sep 17 00:40:23 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Thu Sep 17 00:39:53 UTC 2026","Thu Sep 17 00:39:53 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Thu Sep 17 00:40:53 UTC 2026","Thu Sep 17 00:40:53 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Thu Sep 17 00:38:22 UTC 2026","Thu Sep 17 00:38:52 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Thu Sep 17 00:39:22 UTC 2026","Thu Sep 17 00:39:22 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Thu Sep 17 00:38:52 UTC 2026","Thu Sep 17 00:38:52 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Thu Sep 17 00:37:52 UTC 2026","Thu Sep 17 00:38:22 UTC 2026","30005","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
