"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 21 00:42:19 UTC 2026","Mon Sep 21 00:42:49 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Mon Sep 21 00:43:49 UTC 2026","Mon Sep 21 00:43:49 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Mon Sep 21 00:44:50 UTC 2026","Mon Sep 21 00:44:50 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Mon Sep 21 00:41:48 UTC 2026","Mon Sep 21 00:42:18 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Mon Sep 21 00:42:49 UTC 2026","Mon Sep 21 00:42:49 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Mon Sep 21 00:44:20 UTC 2026","Mon Sep 21 00:44:20 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Mon Sep 21 00:43:19 UTC 2026","Mon Sep 21 00:43:19 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
