"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 23 00:39:36 UTC 2026","Wed Sep 23 00:39:36 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Wed Sep 23 00:38:06 UTC 2026","Wed Sep 23 00:38:06 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Wed Sep 23 00:38:36 UTC 2026","Wed Sep 23 00:38:36 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Wed Sep 23 00:37:35 UTC 2026","Wed Sep 23 00:37:35 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Wed Sep 23 00:37:05 UTC 2026","Wed Sep 23 00:37:35 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Wed Sep 23 00:39:06 UTC 2026","Wed Sep 23 00:39:06 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Wed Sep 23 00:36:35 UTC 2026","Wed Sep 23 00:37:05 UTC 2026","30202","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
