"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 13 00:44:53 UTC 2026","Sun Sep 13 00:44:53 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Sun Sep 13 00:43:22 UTC 2026","Sun Sep 13 00:43:52 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Sun Sep 13 00:45:53 UTC 2026","Sun Sep 13 00:45:53 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Sun Sep 13 00:44:23 UTC 2026","Sun Sep 13 00:44:23 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Sun Sep 13 00:43:53 UTC 2026","Sun Sep 13 00:44:23 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Sun Sep 13 00:46:24 UTC 2026","Sun Sep 13 00:46:24 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Sun Sep 13 00:45:23 UTC 2026","Sun Sep 13 00:45:23 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
