"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 22 00:38:47 UTC 2026","Tue Sep 22 00:39:17 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Tue Sep 22 00:41:19 UTC 2026","Tue Sep 22 00:41:19 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Tue Sep 22 00:39:18 UTC 2026","Tue Sep 22 00:39:48 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Tue Sep 22 00:41:49 UTC 2026","Tue Sep 22 00:41:49 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Tue Sep 22 00:40:48 UTC 2026","Tue Sep 22 00:40:48 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Tue Sep 22 00:39:48 UTC 2026","Tue Sep 22 00:39:48 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Tue Sep 22 00:40:18 UTC 2026","Tue Sep 22 00:40:18 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
